Codici statistici e denominazioni delle unità amministrative rispondenti ai nuovi assetti territoriali della Sardegna. In vigore dal 1° gennaio 2017;;;;;;
Denominazione provincia/città metropolitana;Codice provincia/città metropolitana;Codice comune;Denominazione comune;Codice comune precedente;Codice provincia precedente;Denominazione provincia (ripartizione precedente)
Provincia di Sassari;90;90001;Aggius;104001;104;Olbia-Tempio
Provincia di Sassari;90;90002;Alà dei Sardi;104003;104;Olbia-Tempio
Provincia di Sassari;90;90003;Alghero;90003;90;Sassari
Provincia di Sassari;90;90004;Anela;90004;90;Sassari
Provincia di Sassari;90;90005;Ardara;90005;90;Sassari
Provincia di Sassari;90;90006;Arzachena;104004;104;Olbia-Tempio
Provincia di Sassari;90;90007;Banari;90007;90;Sassari
Provincia di Sassari;90;90008;Benetutti;90008;90;Sassari
Provincia di Sassari;90;90009;Berchidda;104006;104;Olbia-Tempio
Provincia di Sassari;90;90010;Bessude;90010;90;Sassari
Provincia di Sassari;90;90011;Bonnanaro;90011;90;Sassari
Provincia di Sassari;90;90012;Bono;90012;90;Sassari
Provincia di Sassari;90;90013;Bonorva;90013;90;Sassari
Provincia di Sassari;90;90014;Bortigiadas;104007;104;Olbia-Tempio
Provincia di Sassari;90;90015;Borutta;90015;90;Sassari
Provincia di Sassari;90;90016;Bottidda;90016;90;Sassari
Provincia di Sassari;90;90017;Buddusò;104008;104;Olbia-Tempio
Provincia di Sassari;90;90018;Bultei;90018;90;Sassari
Provincia di Sassari;90;90019;Bulzi;90019;90;Sassari
Provincia di Sassari;90;90020;Burgos;90020;90;Sassari
Provincia di Sassari;90;90021;Calangianus;104010;104;Olbia-Tempio
Provincia di Sassari;90;90022;Cargeghe;90022;90;Sassari
Provincia di Sassari;90;90023;Castelsardo;90023;90;Sassari
Provincia di Sassari;90;90024;Cheremule;90024;90;Sassari
Provincia di Sassari;90;90025;Chiaramonti;90025;90;Sassari
Provincia di Sassari;90;90026;Codrongianos;90026;90;Sassari
Provincia di Sassari;90;90027;Cossoine;90027;90;Sassari
Provincia di Sassari;90;90028;Esporlatu;90028;90;Sassari
Provincia di Sassari;90;90029;Florinas;90029;90;Sassari
Provincia di Sassari;90;90030;Giave;90030;90;Sassari
Provincia di Sassari;90;90031;Illorai;90031;90;Sassari
Provincia di Sassari;90;90032;Ittireddu;90032;90;Sassari
Provincia di Sassari;90;90033;Ittiri;90033;90;Sassari
Provincia di Sassari;90;90034;Laerru;90034;90;Sassari
Provincia di Sassari;90;90035;La Maddalena;104012;104;Olbia-Tempio
Provincia di Sassari;90;90036;Luogosanto;104014;104;Olbia-Tempio
Provincia di Sassari;90;90037;Luras;104015;104;Olbia-Tempio
Provincia di Sassari;90;90038;Mara;90038;90;Sassari
Provincia di Sassari;90;90039;Martis;90039;90;Sassari
Provincia di Sassari;90;90040;Monteleone Rocca Doria;90040;90;Sassari
Provincia di Sassari;90;90041;Monti;104016;104;Olbia-Tempio
Provincia di Sassari;90;90042;Mores;90042;90;Sassari
Provincia di Sassari;90;90043;Muros;90043;90;Sassari
Provincia di Sassari;90;90044;Nughedu San Nicolò;90044;90;Sassari
Provincia di Sassari;90;90045;Nule;90045;90;Sassari
Provincia di Sassari;90;90046;Nulvi;90046;90;Sassari
Provincia di Sassari;90;90047;Olbia;104017;104;Olbia-Tempio
Provincia di Sassari;90;90048;Olmedo;90048;90;Sassari
Provincia di Sassari;90;90049;Oschiri;104018;104;Olbia-Tempio
Provincia di Sassari;90;90050;Osilo;90050;90;Sassari
Provincia di Sassari;90;90051;Ossi;90051;90;Sassari
Provincia di Sassari;90;90052;Ozieri;90052;90;Sassari
Provincia di Sassari;90;90053;Padria;90053;90;Sassari
Provincia di Sassari;90;90054;Palau;104020;104;Olbia-Tempio
Provincia di Sassari;90;90055;Pattada;90055;90;Sassari
Provincia di Sassari;90;90056;Perfugas;90056;90;Sassari
Provincia di Sassari;90;90057;Ploaghe;90057;90;Sassari
Provincia di Sassari;90;90058;Porto Torres;90058;90;Sassari
